Code,Expectancy
ABW,76.434
AFE,64.3257022314803
AFG,65.173
AFW,58.4459527348481
AGO,61.487
ALB,78.686
AND,
ARB,72.1707598827252
ARE,78.12
ARG,76.813
ARM,75.224
ASM,
ATG,77.146
AUS,83.2
AUT,81.1926829268293
AZE,73.123
BDI,61.916
BEL,80.7951219512195
BEN,62.077
BFA,61.981
BGD,72.868
BGR,73.6073170731707
BHR,77.419
BHS,74.053
BIH,77.545
BLR,74.2268292682927
BLZ,74.754
BMU,82.0560975609756
BOL,71.771
BRA,76.084
BRB,79.308
BRN,75.998
BTN,72.08
BWA,69.793
CAF,53.679
CAN,81.7487804878049
CEB,76.1441688035782
CHE,83.1
CHI,83.24
CHL,80.329
CHN,77.097
CIV,58.104
CMR,59.626
COD,60.971
COG,64.804
COL,77.46
COM,64.525
CPV,73.166
CRI,80.465
CSS,73.8709059808875
CUB,78.892
CUW,
CYM,
CYP,81.135
CZE,78.2268292682927
DEU,80.9414634146342
DJI,67.49
DMA,
DNK,81.5512195121951
DOM,74.257
DZA,77.063
EAP,75.5810020257993
EAR,70.9112394136255
EAS,76.4434497075294
ECA,73.1611310175678
ECS,77.3904497296709
ECU,77.216
EGY,72.15
EMU,81.5358828056894
ERI,66.679
ESP,82.3341463414634
EST,78.3463414634146
ETH,66.953
EUU,80.4637018880586
FCS,62.7534561513537
FIN,82.1317073170732
FJI,67.561
FRA,82.1756097560976
FRO,83.0926829268293
FSM,68.002
GAB,66.69
GBR,80.9024390243903
GEO,73.919
GHA,64.347
GIB,
GIN,61.962
GMB,62.383
GNB,58.634
GNQ,59.057
GRC,81.0878048780488
GRD,72.426
GRL,71.4046341463415
GTM,74.529
GUM,80.277
GUY,70.023
HIC,80.3072393310149
HKG,85.3878048780488
HND,75.448
HPC,63.8096279614673
HRV,77.7243902439024
HTI,64.315
HUN,75.6170731707317
IBD,73.7015856204204
IBT,71.3880844315818
IDA,64.8039437358971
IDB,62.6349500666142
IDN,71.908
IDX,65.9016315611475
IMN,
IND,69.887
INX,
IRL,82.2048780487805
IRN,76.87
IRQ,70.748
ISL,83.0658536585366
ISR,82.7
ITA,82.3439024390244
JAM,74.586
JOR,74.655
JPN,84.6156097560976
KAZ,71.37
KEN,66.991
KGZ,71.8
KHM,70.054
KIR,68.611
KNA,
KOR,83.4268292682927
KWT,75.586
LAC,75.7582091674716
LAO,68.219
LBN,79.004
LBR,64.423
LBY,73.082
LCA,76.343
LCN,75.762427569981
LDC,65.6289399415688
LIC,64.0537576786637
LIE,81.8073170731707
LKA,77.144
LMC,69.2828184556876
LMY,71.3397892278269
LSO,54.836
LTE,76.4388918288518
LTU,74.9292682926829
LUX,81.7414634146342
LVA,75.3878048780488
MAC,84.37
MAF,80.1219512195122
MAR,76.901
MCO,
MDA,72.006
MDG,67.39
MDV,79.208
MEA,74.4477337438886
MEX,75.131
MHL,
MIC,72.1678082672686
MKD,75.6931707317073
MLI,59.692
MLT,82.6536585365854
MMR,67.363
MNA,73.9654230228965
MNE,75.9317073170732
MNG,70.056
MNP,
MOZ,61.387
MRT,65.129
MUS,74.1770731707317
MWI,64.694
MYS,76.306
NAC,77.7411629363876
NAM,64.045
NCL,77.7711707317073
NER,62.792
NGA,55.018
NIC,74.697
NLD,81.409756097561
NOR,83.209756097561
NPL,71.067
NRU,
NZL,82.0560975609756
OED,79.701853222832
OMN,78.078
OSS,69.0319829742748
PAK,67.428
PAN,78.68
PER,76.947
PHL,71.36
PLW,
PNG,64.725
POL,76.6
PRE,61.4987693990592
PRI,80.0874634146342
PRK,72.453
PRT,80.9756097560976
PRY,74.363
PSE,74.213
PSS,70.2275053761847
PST,80.1627308445989
PYF,77.836
QAT,80.363
ROU,74.3536585365854
RUS,71.3387804878049
RWA,69.329
SAS,69.867846801551
SAU,75.28
SDN,65.53
SEN,68.213
SGP,83.7439024390244
SLB,73.132
SLE,55.066
SLV,73.533
SMR,
SOM,57.697
SRB,74.2292682926829
SSA,61.9497836200855
SSD,58.095
SSF,61.9511085383077
SST,69.9519871025813
STP,70.583
SUR,71.802
SVK,76.8658536585366
SVN,80.5317073170732
SWE,82.4073170731707
SWZ,60.721
SXM,
SYC,77.2365853658537
SYR,73.651
TCA,
TCD,54.505
TEA,75.6196224468338
TEC,73.4831176991123
TGO,61.34
THA,77.344
TJK,71.301
TKM,68.313
TLA,75.6828220726702
TLS,69.712
TMN,73.9623843227375
TON,71.018
TSA,69.867846801551
TSS,61.9511085383077
TTO,73.628
TUN,76.891
TUR,77.928
TUV,
TZA,65.815
UGA,63.713
UKR,71.1851219512195
UMC,75.9774633973644
URY,78.056
USA,77.2804878048781
UZB,71.848
VCT,72.658
VEN,72.066
VGB,
VIR,79.819512195122
VNM,75.493
VUT,70.623
WLD,72.747303139606
WSM,73.45
XKX,71.0878048780488
YEM,66.181
ZAF,64.379
ZMB,64.194
ZWE,61.738
